"date","activity","value","source"
2020-04-11,"Transit stations",23,"Google"
2020-04-12,"Transit stations",22,"Google"
2020-04-13,"Transit stations",15,"Google"
2020-04-14,"Transit stations",22,"Google"
2020-04-15,"Transit stations",22,"Google"
2020-04-16,"Transit stations",21,"Google"
2020-04-17,"Transit stations",21,"Google"
2020-04-18,"Transit stations",23,"Google"
2020-04-19,"Transit stations",25,"Google"
2020-04-20,"Transit stations",23,"Google"
2020-04-21,"Transit stations",23,"Google"
2020-04-22,"Transit stations",23,"Google"
2020-04-23,"Transit stations",23,"Google"
2020-04-24,"Transit stations",25,"Google"
2020-04-25,"Transit stations",26,"Google"
2020-04-26,"Transit stations",28,"Google"
2020-04-27,"Transit stations",24,"Google"
2020-04-28,"Transit stations",20,"Google"
2020-04-29,"Transit stations",23,"Google"
2020-04-30,"Transit stations",22,"Google"
2020-05-01,"Transit stations",25,"Google"
2020-05-02,"Transit stations",29,"Google"
2020-05-03,"Transit stations",26,"Google"
2020-05-04,"Transit stations",26,"Google"
2020-05-05,"Transit stations",25,"Google"
2020-05-06,"Transit stations",26,"Google"
2020-05-07,"Transit stations",27,"Google"
2020-03-16,"TfL - Bus",79,"TfL Bus"
2020-03-17,"TfL - Bus",70,"TfL Bus"
2020-03-18,"TfL - Bus",65,"TfL Bus"
2020-03-19,"TfL - Bus",59,"TfL Bus"
2020-03-20,"TfL - Bus",52,"TfL Bus"
2020-03-21,"TfL - Bus",39,"TfL Bus"
2020-03-22,"TfL - Bus",32,"TfL Bus"
2020-03-23,"TfL - Bus",31,"TfL Bus"
2020-03-24,"TfL - Bus",22,"TfL Bus"
2020-03-25,"TfL - Bus",19,"TfL Bus"
2020-03-26,"TfL - Bus",18,"TfL Bus"
2020-03-27,"TfL - Bus",18,"TfL Bus"
2020-03-28,"TfL - Bus",17,"TfL Bus"
2020-03-29,"TfL - Bus",16,"TfL Bus"
2020-03-30,"TfL - Bus",17,"TfL Bus"
2020-03-31,"TfL - Bus",17,"TfL Bus"
2020-04-01,"TfL - Bus",16,"TfL Bus"
2020-04-02,"TfL - Bus",16,"TfL Bus"
2020-04-03,"TfL - Bus",16,"TfL Bus"
2020-04-04,"TfL - Bus",17,"TfL Bus"
2020-04-05,"TfL - Bus",17,"TfL Bus"
2020-04-06,"TfL - Bus",18,"TfL Bus"
2020-04-07,"TfL - Bus",18,"TfL Bus"
2020-04-08,"TfL - Bus",17,"TfL Bus"
2020-04-09,"TfL - Bus",18,"TfL Bus"
2020-04-10,"TfL - Bus",17,"TfL Bus"
2020-04-11,"TfL - Bus",16,"TfL Bus"
2020-04-12,"TfL - Bus",14,"TfL Bus"
2020-04-13,"TfL - Bus",18,"TfL Bus"
2020-04-14,"TfL - Bus",19,"TfL Bus"
2020-04-15,"TfL - Bus",18,"TfL Bus"
2020-04-16,"TfL - Bus",18,"TfL Bus"
2020-04-17,"TfL - Bus",18,"TfL Bus"
2020-04-18,"TfL - Bus",16,"TfL Bus"
2020-03-16,"TfL - Tube",60,"TfL Tube"
2020-03-17,"TfL - Tube",44,"TfL Tube"
2020-03-18,"TfL - Tube",35,"TfL Tube"
2020-03-19,"TfL - Tube",30,"TfL Tube"
2020-03-20,"TfL - Tube",24,"TfL Tube"
2020-03-21,"TfL - Tube",13,"TfL Tube"
2020-03-22,"TfL - Tube",11,"TfL Tube"
2020-03-23,"TfL - Tube",15,"TfL Tube"
2020-03-24,"TfL - Tube",9,"TfL Tube"
2020-03-25,"TfL - Tube",7,"TfL Tube"
2020-03-26,"TfL - Tube",6,"TfL Tube"
2020-03-27,"TfL - Tube",6,"TfL Tube"
2020-03-28,"TfL - Tube",4,"TfL Tube"
2020-03-29,"TfL - Tube",4,"TfL Tube"
2020-03-30,"TfL - Tube",5,"TfL Tube"
2020-03-31,"TfL - Tube",5,"TfL Tube"
2020-04-01,"TfL - Tube",5,"TfL Tube"
2020-04-02,"TfL - Tube",5,"TfL Tube"
2020-04-03,"TfL - Tube",5,"TfL Tube"
2020-04-04,"TfL - Tube",4,"TfL Tube"
2020-04-05,"TfL - Tube",4,"TfL Tube"
2020-04-06,"TfL - Tube",5,"TfL Tube"
2020-04-07,"TfL - Tube",5,"TfL Tube"
2020-04-08,"TfL - Tube",5,"TfL Tube"
2020-04-09,"TfL - Tube",5,"TfL Tube"
2020-04-10,"TfL - Tube",4,"TfL Tube"
2020-04-11,"TfL - Tube",4,"TfL Tube"
2020-04-12,"TfL - Tube",4,"TfL Tube"
2020-04-13,"TfL - Tube",5,"TfL Tube"
2020-04-14,"TfL - Tube",5,"TfL Tube"
2020-04-15,"TfL - Tube",5,"TfL Tube"
2020-04-16,"TfL - Tube",5,"TfL Tube"
2020-04-17,"TfL - Tube",5,"TfL Tube"
2020-04-18,"TfL - Tube",4,"TfL Tube"
2020-04-19,"TfL - Tube",4,"TfL Tube"
2020-04-20,"TfL - Tube",5,"TfL Tube"
2020-04-21,"TfL - Tube",5,"TfL Tube"
2020-04-22,"TfL - Tube",5,"TfL Tube"
2020-04-23,"TfL - Tube",5,"TfL Tube"
2020-04-24,"TfL - Tube",5,"TfL Tube"
2020-04-25,"TfL - Tube",4,"TfL Tube"
2020-04-26,"TfL - Tube",4,"TfL Tube"
2020-04-27,"TfL - Tube",5,"TfL Tube"
2020-04-28,"TfL - Tube",5,"TfL Tube"
2020-04-29,"TfL - Tube",5,"TfL Tube"
2020-04-30,"TfL - Tube",5,"TfL Tube"
2020-05-01,"TfL - Tube",5,"TfL Tube"
2020-05-02,"TfL - Tube",4,"TfL Tube"
2020-05-03,"TfL - Tube",4,"TfL Tube"
2020-05-04,"TfL - Tube",6,"TfL Tube"
2020-05-05,"TfL - Tube",6,"TfL Tube"
2020-05-06,"TfL - Tube",5,"TfL Tube"
2020-05-07,"TfL - Tube",5,"TfL Tube"
2020-05-08,"TfL - Tube",7,"TfL Tube"
2020-05-09,"TfL - Tube",5,"TfL Tube"
2020-05-10,"TfL - Tube",4,"TfL Tube"
2020-05-11,"TfL - Tube",6,"TfL Tube"
